Date,Location,CPI
9/1/1948,Sydney ,2.56
9/1/1948,Melbourne ,2.64
9/1/1948,Brisbane,2.51
9/1/1948,Adelaide ,2.64
9/1/1948,Perth,2.60
9/1/1948,Hobart ,2.66
9/1/1948,Canberra ,2.79
9/1/1948,Australia ,2.59
12/1/1948,Sydney ,2.60
12/1/1948,Melbourne ,2.68
12/1/1948,Brisbane,2.54
12/1/1948,Adelaide ,2.68
12/1/1948,Perth,2.64
12/1/1948,Hobart ,2.70
12/1/1948,Canberra ,2.87
12/1/1948,Australia ,2.63
3/1/1949,Sydney ,2.68
3/1/1949,Melbourne ,2.72
3/1/1949,Brisbane,2.58
3/1/1949,Adelaide ,2.75
3/1/1949,Perth,2.72
3/1/1949,Hobart ,2.78
3/1/1949,Canberra ,2.91
3/1/1949,Australia ,2.71
6/1/1949,Sydney ,2.71
6/1/1949,Melbourne ,2.80
6/1/1949,Brisbane,2.65
6/1/1949,Adelaide ,2.79
6/1/1949,Perth,2.80
6/1/1949,Hobart ,2.86
6/1/1949,Canberra ,2.98
6/1/1949,Australia ,2.74
9/1/1949,Sydney ,2.79
9/1/1949,Melbourne ,2.84
9/1/1949,Brisbane,2.73
9/1/1949,Adelaide ,2.83
9/1/1949,Perth,2.87
9/1/1949,Hobart ,2.86
9/1/1949,Canberra ,3.02
9/1/1949,Australia ,2.82
12/1/1949,Sydney ,2.83
12/1/1949,Melbourne ,2.92
12/1/1949,Brisbane,2.76
12/1/1949,Adelaide ,2.86
12/1/1949,Perth,2.91
12/1/1949,Hobart ,2.90
12/1/1949,Canberra ,3.06
12/1/1949,Australia ,2.86
3/1/1950,Sydney ,2.87
3/1/1950,Melbourne ,2.99
3/1/1950,Brisbane,2.80
3/1/1950,Adelaide ,2.90
3/1/1950,Perth,2.95
3/1/1950,Hobart ,2.90
3/1/1950,Canberra ,3.10
3/1/1950,Australia ,2.90
6/1/1950,Sydney ,2.99
6/1/1950,Melbourne ,3.07
6/1/1950,Brisbane,2.87
6/1/1950,Adelaide ,3.02
6/1/1950,Perth,3.07
6/1/1950,Hobart ,3.01
6/1/1950,Canberra ,3.22
6/1/1950,Australia ,3.02
9/1/1950,Sydney ,3.02
9/1/1950,Melbourne ,3.11
9/1/1950,Brisbane,2.91
9/1/1950,Adelaide ,3.05
9/1/1950,Perth,3.11
9/1/1950,Hobart ,3.09
9/1/1950,Canberra ,3.30
9/1/1950,Australia ,3.05
12/1/1950,Sydney ,3.18
12/1/1950,Melbourne ,3.23
12/1/1950,Brisbane,3.02
12/1/1950,Adelaide ,3.17
12/1/1950,Perth,3.18
12/1/1950,Hobart ,3.17
12/1/1950,Canberra ,3.42
12/1/1950,Australia ,3.17
3/1/1951,Sydney ,3.30
3/1/1951,Melbourne ,3.39
3/1/1951,Brisbane,3.17
3/1/1951,Adelaide ,3.32
3/1/1951,Perth,3.38
3/1/1951,Hobart ,3.37
3/1/1951,Canberra ,3.61
3/1/1951,Australia ,3.32
6/1/1951,Sydney ,3.53
6/1/1951,Melbourne ,3.59
6/1/1951,Brisbane,3.35
6/1/1951,Adelaide ,3.54
6/1/1951,Perth,3.57
6/1/1951,Hobart ,3.60
6/1/1951,Canberra ,3.85
6/1/1951,Australia ,3.52
9/1/1951,Sydney ,3.72
9/1/1951,Melbourne ,3.74
9/1/1951,Brisbane,3.50
9/1/1951,Adelaide ,3.73
9/1/1951,Perth,3.77
9/1/1951,Hobart ,3.80
9/1/1951,Canberra ,4.05
9/1/1951,Australia ,3.71
12/1/1951,Sydney ,3.96
12/1/1951,Melbourne ,4.06
12/1/1951,Brisbane,3.80
12/1/1951,Adelaide ,3.92
12/1/1951,Perth,3.96
12/1/1951,Hobart ,4.03
12/1/1951,Canberra ,4.28
12/1/1951,Australia ,3.98
3/1/1952,Sydney ,4.11
3/1/1952,Melbourne ,4.14
3/1/1952,Brisbane,3.94
3/1/1952,Adelaide ,4.07
3/1/1952,Perth,4.16
3/1/1952,Hobart ,4.15
3/1/1952,Canberra ,4.40
3/1/1952,Australia ,4.10
6/1/1952,Sydney ,4.27
6/1/1952,Melbourne ,4.29
6/1/1952,Brisbane,4.02
6/1/1952,Adelaide ,4.26
6/1/1952,Perth,4.31
6/1/1952,Hobart ,4.31
6/1/1952,Canberra ,4.63
6/1/1952,Australia ,4.25
9/1/1952,Sydney ,4.30
9/1/1952,Melbourne ,4.41
9/1/1952,Brisbane,4.13
9/1/1952,Adelaide ,4.37
9/1/1952,Perth,4.43
9/1/1952,Hobart ,4.42
9/1/1952,Canberra ,4.71
9/1/1952,Australia ,4.33
12/1/1952,Sydney ,4.34
12/1/1952,Melbourne ,4.41
12/1/1952,Brisbane,4.13
12/1/1952,Adelaide ,4.33
12/1/1952,Perth,4.43
12/1/1952,Hobart ,4.46
12/1/1952,Canberra ,4.75
12/1/1952,Australia ,4.37
3/1/1953,Sydney ,4.38
3/1/1953,Melbourne ,4.45
3/1/1953,Brisbane,4.16
3/1/1953,Adelaide ,4.41
3/1/1953,Perth,4.51
3/1/1953,Hobart ,4.54
3/1/1953,Canberra ,4.79
3/1/1953,Australia ,4.41
6/1/1953,Sydney ,4.42
6/1/1953,Melbourne ,4.53
6/1/1953,Brisbane,4.20
6/1/1953,Adelaide ,4.45
6/1/1953,Perth,4.54
6/1/1953,Hobart ,4.62
6/1/1953,Canberra ,4.83
6/1/1953,Australia ,4.45
9/1/1953,Sydney ,4.46
9/1/1953,Melbourne ,4.53
9/1/1953,Brisbane,4.20
9/1/1953,Adelaide ,4.49
9/1/1953,Perth,4.58
9/1/1953,Hobart ,4.74
9/1/1953,Canberra ,4.91
9/1/1953,Australia ,4.48
12/1/1953,Sydney ,4.42
12/1/1953,Melbourne ,4.53
12/1/1953,Brisbane,4.24
12/1/1953,Adelaide ,4.49
12/1/1953,Perth,4.58
12/1/1953,Hobart ,4.78
12/1/1953,Canberra ,4.95
12/1/1953,Australia ,4.45
3/1/1954,Sydney ,4.46
3/1/1954,Melbourne ,4.53
3/1/1954,Brisbane,4.24
3/1/1954,Adelaide ,4.49
3/1/1954,Perth,4.58
3/1/1954,Hobart ,4.74
3/1/1954,Canberra ,4.91
3/1/1954,Australia ,4.48
6/1/1954,Sydney ,4.42
6/1/1954,Melbourne ,4.53
6/1/1954,Brisbane,4.24
6/1/1954,Adelaide ,4.49
6/1/1954,Perth,4.66
6/1/1954,Hobart ,4.74
6/1/1954,Canberra ,4.91
6/1/1954,Australia ,4.48
9/1/1954,Sydney ,4.42
9/1/1954,Melbourne ,4.49
9/1/1954,Brisbane,4.24
9/1/1954,Adelaide ,4.52
9/1/1954,Perth,4.66
9/1/1954,Hobart ,4.70
9/1/1954,Canberra ,4.91
9/1/1954,Australia ,4.48
12/1/1954,Sydney ,4.46
12/1/1954,Melbourne ,4.49
12/1/1954,Brisbane,4.24
12/1/1954,Adelaide ,4.52
12/1/1954,Perth,4.66
12/1/1954,Hobart ,4.70
12/1/1954,Canberra ,4.99
12/1/1954,Australia ,4.48
3/1/1955,Sydney ,4.50
3/1/1955,Melbourne ,4.53
3/1/1955,Brisbane,4.28
3/1/1955,Adelaide ,4.56
3/1/1955,Perth,4.66
3/1/1955,Hobart ,4.74
3/1/1955,Canberra ,4.99
3/1/1955,Australia ,4.52
6/1/1955,Sydney ,4.50
6/1/1955,Melbourne ,4.57
6/1/1955,Brisbane,4.31
6/1/1955,Adelaide ,4.60
6/1/1955,Perth,4.74
6/1/1955,Hobart ,4.78
6/1/1955,Canberra ,5.03
6/1/1955,Australia ,4.56
9/1/1955,Sydney ,4.54
9/1/1955,Melbourne ,4.65
9/1/1955,Brisbane,4.31
9/1/1955,Adelaide ,4.60
9/1/1955,Perth,4.74
9/1/1955,Hobart ,4.85
9/1/1955,Canberra ,5.07
9/1/1955,Australia ,4.60
12/1/1955,Sydney ,4.58
12/1/1955,Melbourne ,4.77
12/1/1955,Brisbane,4.35
12/1/1955,Adelaide ,4.64
12/1/1955,Perth,4.78
12/1/1955,Hobart ,4.93
12/1/1955,Canberra ,5.11
12/1/1955,Australia ,4.64
3/1/1956,Sydney ,4.61
3/1/1956,Melbourne ,4.81
3/1/1956,Brisbane,4.42
3/1/1956,Adelaide ,4.67
3/1/1956,Perth,4.82
3/1/1956,Hobart ,5.01
3/1/1956,Canberra ,5.14
3/1/1956,Australia ,4.68
6/1/1956,Sydney ,4.77
6/1/1956,Melbourne ,5.00
6/1/1956,Brisbane,4.53
6/1/1956,Adelaide ,4.82
6/1/1956,Perth,4.93
6/1/1956,Hobart ,5.13
6/1/1956,Canberra ,5.26
6/1/1956,Australia ,4.83
9/1/1956,Sydney ,4.93
9/1/1956,Melbourne ,5.08
9/1/1956,Brisbane,4.64
9/1/1956,Adelaide ,4.90
9/1/1956,Perth,4.97
9/1/1956,Hobart ,5.25
9/1/1956,Canberra ,5.38
9/1/1956,Australia ,4.95
12/1/1956,Sydney ,4.93
12/1/1956,Melbourne ,5.08
12/1/1956,Brisbane,4.64
12/1/1956,Adelaide ,4.90
12/1/1956,Perth,5.01
12/1/1956,Hobart ,5.28
12/1/1956,Canberra ,5.42
12/1/1956,Australia ,4.95
3/1/1957,Sydney ,4.93
3/1/1957,Melbourne ,5.04
3/1/1957,Brisbane,4.64
3/1/1957,Adelaide ,4.82
3/1/1957,Perth,5.05
3/1/1957,Hobart ,5.28
