Date,  RealGDP  ,GDPgrowth
9/1/1959,"78,803,000,000",
12/1/1959,"89,765,000,000",
3/1/1960,"78,634,000,000",
6/1/1960,"81,514,000,000",
9/1/1960,"83,136,000,000",5.5
12/1/1960,"92,178,000,000",2.69
3/1/1961,"81,325,000,000",3.42
6/1/1961,"80,233,000,000",-1.57
9/1/1961,"81,731,000,000",-1.69
12/1/1961,"92,194,000,000",0.02
3/1/1962,"82,537,000,000",1.49
6/1/1962,"84,780,000,000",5.67
9/1/1962,"87,102,000,000",6.57
12/1/1962,"99,418,000,000",7.84
3/1/1963,"87,980,000,000",6.59
6/1/1963,"87,946,000,000",3.73
9/1/1963,"93,174,000,000",6.97
12/1/1963,"106,494,000,000",7.12
3/1/1964,"92,352,000,000",4.97
6/1/1964,"95,717,000,000",8.84
9/1/1964,"98,363,000,000",5.57
12/1/1964,"112,418,000,000",5.56
3/1/1965,"98,679,000,000",6.85
6/1/1965,"101,454,000,000",5.99
9/1/1965,"103,338,000,000",5.06
12/1/1965,"115,391,000,000",2.64
3/1/1966,"99,050,000,000",0.38
6/1/1966,"102,919,000,000",1.44
9/1/1966,"107,069,000,000",3.61
12/1/1966,"122,107,000,000",5.82
3/1/1967,"109,438,000,000",10.49
6/1/1967,"108,617,000,000",5.54
9/1/1967,"113,753,000,000",6.24
12/1/1967,"130,347,000,000",6.75
3/1/1968,"109,957,000,000",0.47
6/1/1968,"115,961,000,000",6.76
9/1/1968,"119,734,000,000",5.26
12/1/1968,"141,183,000,000",8.31
3/1/1969,"119,790,000,000",8.94
6/1/1969,"122,437,000,000",5.58
9/1/1969,"128,162,000,000",7.04
12/1/1969,"146,700,000,000",3.91
3/1/1970,"130,663,000,000",9.08
6/1/1970,"133,717,000,000",9.21
9/1/1970,"136,739,000,000",6.69
12/1/1970,"151,939,000,000",3.57
3/1/1971,"134,925,000,000",3.26
6/1/1971,"137,214,000,000",2.62
9/1/1971,"142,624,000,000",4.3
12/1/1971,"159,779,000,000",5.16
3/1/1972,"138,004,000,000",2.28
6/1/1972,"142,322,000,000",3.72
9/1/1972,"144,280,000,000",1.16
12/1/1972,"163,004,000,000",2.02
3/1/1973,"143,314,000,000",3.85
6/1/1973,"147,390,000,000",3.56
9/1/1973,"149,416,000,000",3.56
12/1/1973,"173,113,000,000",6.2
3/1/1974,"150,685,000,000",5.14
6/1/1974,"149,330,000,000",1.32
9/1/1974,"151,572,000,000",1.44
12/1/1974,"171,553,000,000",-0.9
3/1/1975,"149,116,000,000",-1.04
6/1/1975,"158,637,000,000",6.23
9/1/1975,"156,081,000,000",2.97
12/1/1975,"174,749,000,000",1.86
3/1/1976,"155,469,000,000",4.26
6/1/1976,"160,904,000,000",1.43
9/1/1976,"164,382,000,000",5.32
12/1/1976,"182,307,000,000",4.33
3/1/1977,"158,025,000,000",1.64
6/1/1977,"165,740,000,000",3.01
9/1/1977,"167,029,000,000",1.61
12/1/1977,"182,104,000,000",-0.11
3/1/1978,"159,431,000,000",0.89
6/1/1978,"167,893,000,000",1.3
9/1/1978,"169,107,000,000",1.24
12/1/1978,"190,068,000,000",4.37
3/1/1979,"172,161,000,000",7.98
6/1/1979,"172,528,000,000",2.76
9/1/1979,"174,928,000,000",3.44
12/1/1979,"198,367,000,000",4.37
3/1/1980,"172,493,000,000",0.19
6/1/1980,"179,435,000,000",4
9/1/1980,"181,489,000,000",3.75
12/1/1980,"204,075,000,000",2.88
3/1/1981,"175,740,000,000",1.88
6/1/1981,"188,159,000,000",4.86
9/1/1981,"191,050,000,000",5.27
12/1/1981,"213,406,000,000",4.57
3/1/1982,"179,622,000,000",2.21
