Date,Attribute,Value
2/1/1978,Australia,7.4641503
2/1/1978,New South Wales,7.6086511
2/1/1978,Victoria,6.5763729
2/1/1978,Queensland,8.4414535
2/1/1978,South Australia,7.5845947
2/1/1978,Western Australia,7.5927464
2/1/1978,Tasmania,7.3911539
2/1/1978,Northern Territory,10.2089976
2/1/1978,Australian Capital Territory,7.8482521
3/1/1978,Australia,6.5711212
3/1/1978,New South Wales,6.6752057
3/1/1978,Victoria,5.943664
3/1/1978,Queensland,7.8602934
3/1/1978,South Australia,6.5497659
3/1/1978,Western Australia,6.1296789
3/1/1978,Tasmania,6.4612018
3/1/1978,Northern Territory,6.5395138
3/1/1978,Australian Capital Territory,5.854958
4/1/1978,Australia,6.2465521
4/1/1978,New South Wales,6.5909807
4/1/1978,Victoria,5.4979632
4/1/1978,Queensland,7.0347847
4/1/1978,South Australia,6.2199469
4/1/1978,Western Australia,6.0357861
4/1/1978,Tasmania,5.778443
4/1/1978,Northern Territory,5.3904446
4/1/1978,Australian Capital Territory,6.7800058
5/1/1978,Australia,6.1896587
5/1/1978,New South Wales,6.1945852
5/1/1978,Victoria,5.7070603
5/1/1978,Queensland,7.1021456
5/1/1978,South Australia,6.6857276
5/1/1978,Western Australia,5.8794179
5/1/1978,Tasmania,6.0077134
5/1/1978,Northern Territory,5.4361343
5/1/1978,Australian Capital Territory,5.4845868
6/1/1978,Australia,6.1245226
6/1/1978,New South Wales,6.1705937
6/1/1978,Victoria,5.4141246
6/1/1978,Queensland,7.1251765
6/1/1978,South Australia,6.7370666
6/1/1978,Western Australia,5.9712003
6/1/1978,Tasmania,6.2711375
6/1/1978,Northern Territory,3.7704732
6/1/1978,Australian Capital Territory,6.1326458
7/1/1978,Australia,5.9304118
7/1/1978,New South Wales,5.8543097
7/1/1978,Victoria,5.1609905
7/1/1978,Queensland,6.6865985
7/1/1978,South Australia,6.603857
7/1/1978,Western Australia,6.5990958
7/1/1978,Tasmania,6.4264898
7/1/1978,Northern Territory,4.4244762
7/1/1978,Australian Capital Territory,6.0452672
8/1/1978,Australia,6.2197328
8/1/1978,New South Wales,5.9809798
8/1/1978,Victoria,5.7927412
8/1/1978,Queensland,6.6722801
8/1/1978,South Australia,7.3896295
8/1/1978,Western Australia,6.7725625
8/1/1978,Tasmania,6.1696758
8/1/1978,Northern Territory,3.5488721
8/1/1978,Australian Capital Territory,6.0256197
9/1/1978,Australia,6.0409937
9/1/1978,New South Wales,5.9743106
9/1/1978,Victoria,5.1338227
9/1/1978,Queensland,6.5875213
9/1/1978,South Australia,7.8460417
9/1/1978,Western Australia,6.3381558
9/1/1978,Tasmania,6.2871181
9/1/1978,Northern Territory,5.1204127
9/1/1978,Australian Capital Territory,5.5895846
10/1/1978,Australia,5.7724211
10/1/1978,New South Wales,5.5881005
10/1/1978,Victoria,5.1281565
10/1/1978,Queensland,5.6263267
10/1/1978,South Australia,7.6052605
10/1/1978,Western Australia,6.3330537
10/1/1978,Tasmania,6.0641856
10/1/1978,Northern Territory,5.9166759
10/1/1978,Australian Capital Territory,7.6106858
11/1/1978,Australia,5.8187408
11/1/1978,New South Wales,5.8911502
11/1/1978,Victoria,4.8246414
11/1/1978,Queensland,6.1075252
11/1/1978,South Australia,7.3391861
11/1/1978,Western Australia,6.3669554
11/1/1978,Tasmania,5.8670242
11/1/1978,Northern Territory,6.0216887
11/1/1978,Australian Capital Territory,6.2565898
12/1/1978,Australia,6.767364
12/1/1978,New South Wales,6.2595661
12/1/1978,Victoria,6.4025392
12/1/1978,Queensland,7.4185366
12/1/1978,South Australia,7.5784294
12/1/1978,Western Australia,7.4318793
12/1/1978,Tasmania,7.0830644
12/1/1978,Northern Territory,5.3852552
12/1/1978,Australian Capital Territory,9.6658537
1/1/1979,Australia,7.0064912
1/1/1979,New South Wales,6.6080717
1/1/1979,Victoria,6.0927193
1/1/1979,Queensland,8.223452
1/1/1979,South Australia,7.6464136
1/1/1979,Western Australia,8.0278781
1/1/1979,Tasmania,7.6613702
1/1/1979,Northern Territory,5.611678
1/1/1979,Australian Capital Territory,10.0989561
2/1/1979,Australia,7.0379573
2/1/1979,New South Wales,6.6167999
2/1/1979,Victoria,6.2563373
2/1/1979,Queensland,8.0383268
2/1/1979,South Australia,8.1653344
2/1/1979,Western Australia,8.1812607
2/1/1979,Tasmania,6.8279511
2/1/1979,Northern Territory,6.5247656
2/1/1979,Australian Capital Territory,8.0213265
3/1/1979,Australia,6.56569
3/1/1979,New South Wales,6.383718
3/1/1979,Victoria,5.593713
3/1/1979,Queensland,7.5770526
3/1/1979,South Australia,7.9109971
3/1/1979,Western Australia,7.2020963
3/1/1979,Tasmania,6.3599541
3/1/1979,Northern Territory,3.2924216
3/1/1979,Australian Capital Territory,8.2433789
4/1/1979,Australia,6.4621405
4/1/1979,New South Wales,6.4887098
4/1/1979,Victoria,5.7146345
4/1/1979,Queensland,7.1207651
4/1/1979,South Australia,6.9454326
4/1/1979,Western Australia,7.3366184
4/1/1979,Tasmania,5.2591335
4/1/1979,Northern Territory,5.046384
4/1/1979,Australian Capital Territory,7.7384209
5/1/1979,Australia,6.1779402
5/1/1979,New South Wales,6.2918258
5/1/1979,Victoria,5.2007679
5/1/1979,Queensland,6.4275062
5/1/1979,South Australia,7.4090427
5/1/1979,Western Australia,6.8106207
5/1/1979,Tasmania,5.9504881
5/1/1979,Northern Territory,5.9374384
5/1/1979,Australian Capital Territory,7.8504863
6/1/1979,Australia,6.0568166
6/1/1979,New South Wales,5.9525163
6/1/1979,Victoria,5.4147316
6/1/1979,Queensland,6.5879936
6/1/1979,South Australia,7.4484671
6/1/1979,Western Australia,6.6093975
6/1/1979,Tasmania,4.3448893
6/1/1979,Northern Territory,4.4088797
6/1/1979,Australian Capital Territory,6.9398864
7/1/1979,Australia,5.9635919
7/1/1979,New South Wales,5.9052451
7/1/1979,Victoria,5.3062998
7/1/1979,Queensland,6.0997902
7/1/1979,South Australia,6.5996741
7/1/1979,Western Australia,7.4441924
7/1/1979,Tasmania,5.9099117
7/1/1979,Northern Territory,4.0455172
7/1/1979,Australian Capital Territory,6.3148047
8/1/1979,Australia,5.8472077
8/1/1979,New South Wales,5.2565485
8/1/1979,Victoria,5.4878103
8/1/1979,Queensland,5.7466566
8/1/1979,South Australia,7.6057897
8/1/1979,Western Australia,7.3321979
8/1/1979,Tasmania,6.7161024
8/1/1979,Northern Territory,4.8353818
8/1/1979,Australian Capital Territory,6.3067265
9/1/1979,Australia,6.1057906
9/1/1979,New South Wales,5.5048958
9/1/1979,Victoria,6.155574
9/1/1979,Queensland,5.8929766
9/1/1979,South Australia,7.6371919
9/1/1979,Western Australia,6.9397391
9/1/1979,Tasmania,6.4309997
9/1/1979,Northern Territory,7.5345943
9/1/1979,Australian Capital Territory,5.6395168
10/1/1979,Australia,5.970323
10/1/1979,New South Wales,5.4761786
10/1/1979,Victoria,5.876121
10/1/1979,Queensland,5.6542457
10/1/1979,South Australia,7.3736619
10/1/1979,Western Australia,7.3898981
10/1/1979,Tasmania,5.9344859
10/1/1979,Northern Territory,6.3763197
10/1/1979,Australian Capital Territory,5.320809
11/1/1979,Australia,5.5483833
11/1/1979,New South Wales,5.1702806
11/1/1979,Victoria,5.3958127
11/1/1979,Queensland,5.5475449
11/1/1979,South Australia,6.5416883
11/1/1979,Western Australia,6.6083351
11/1/1979,Tasmania,5.5884522
11/1/1979,Northern Territory,4.2329481
11/1/1979,Australian Capital Territory,5.5979962
12/1/1979,Australia,6.4436585
12/1/1979,New South Wales,5.8486868
12/1/1979,Victoria,5.7778721
12/1/1979,Queensland,7.0259259
12/1/1979,South Australia,7.3610077
12/1/1979,Western Australia,8.4290829
12/1/1979,Tasmania,7.5062492
12/1/1979,Northern Territory,6.7879114
12/1/1979,Australian Capital Territory,6.946213
1/1/1980,Australia,6.7382662
1/1/1980,New South Wales,6.3262517
1/1/1980,Victoria,5.9942254
1/1/1980,Queensland,7.3087526
1/1/1980,South Australia,8.0326576
1/1/1980,Western Australia,7.9077331
1/1/1980,Tasmania,7.6429612
1/1/1980,Northern Territory,6.2974291
1/1/1980,Australian Capital Territory,7.8790269
2/1/1980,Australia,6.739071
2/1/1980,New South Wales,6.2658966
2/1/1980,Victoria,6.0866946
2/1/1980,Queensland,7.4643903
2/1/1980,South Australia,8.1053811
2/1/1980,Western Australia,7.9789324
2/1/1980,Tasmania,7.1892106
2/1/1980,Northern Territory,3.540851
2/1/1980,Australian Capital Territory,7.6815177
3/1/1980,Australia,6.2089042
3/1/1980,New South Wales,5.6900021
3/1/1980,Victoria,5.8747446
3/1/1980,Queensland,7.1068808
3/1/1980,South Australia,7.3457921
3/1/1980,Western Australia,6.7350161
3/1/1980,Tasmania,6.7799619
3/1/1980,Northern Territory,2.7048075
3/1/1980,Australian Capital Territory,6.3269992
4/1/1980,Australia,6.1508992
4/1/1980,New South Wales,5.5289025
4/1/1980,Victoria,5.8677671
4/1/1980,Queensland,7.3622758
4/1/1980,South Australia,7.689987
4/1/1980,Western Australia,6.2686609
4/1/1980,Tasmania,6.6052897
4/1/1980,Northern Territory,2.9170244
4/1/1980,Australian Capital Territory,4.7215326
5/1/1980,Australia,6.2268607
5/1/1980,New South Wales,5.7664169
5/1/1980,Victoria,5.7961054
5/1/1980,Queensland,6.9062712
5/1/1980,South Australia,8.4398356
5/1/1980,Western Australia,6.1099167
5/1/1980,Tasmania,6.3045195
5/1/1980,Northern Territory,3.4260113
5/1/1980,Australian Capital Territory,6.7623914
6/1/1980,Australia,6.1285339
6/1/1980,New South Wales,5.4744163
6/1/1980,Victoria,6.0063998
6/1/1980,Queensland,6.879743
6/1/1980,South Australia,8.0536821
6/1/1980,Western Australia,6.1455242
6/1/1980,Tasmania,6.1415951
6/1/1980,Northern Territory,2.121989
6/1/1980,Australian Capital Territory,6.6358457
7/1/1980,Australia,5.7843135
7/1/1980,New South Wales,5.3277801
7/1/1980,Victoria,5.7273805
7/1/1980,Queensland,6.0786142
7/1/1980,South Australia,7.5279236
7/1/1980,Western Australia,6.0058835
7/1/1980,Tasmania,5.1584414
7/1/1980,Northern Territory,2.3850324
7/1/1980,Australian Capital Territory,5.8748708
8/1/1980,Australia,5.9095079
8/1/1980,New South Wales,5.4893842
8/1/1980,Victoria,5.7521566
8/1/1980,Queensland,5.9919904
8/1/1980,South Australia,7.98814
8/1/1980,Western Australia,6.2649056
8/1/1980,Tasmania,5.1701649
8/1/1980,Northern Territory,4.603277
8/1/1980,Australian Capital Territory,5.3109557
9/1/1980,Australia,6.0223764
9/1/1980,New South Wales,5.5234241
9/1/1980,Victoria,5.9950028
9/1/1980,Queensland,6.1440412
9/1/1980,South Australia,8.2962258
9/1/1980,Western Australia,5.8329547
9/1/1980,Tasmania,5.6992508
9/1/1980,Northern Territory,4.6843591
9/1/1980,Australian Capital Territory,5.9919492
10/1/1980,Australia,5.6503626
10/1/1980,New South Wales,5.0376177
10/1/1980,Victoria,5.8220986
